"Sentence","Mark #1","Mark #2","Mark #3","Mark #4","Mark #4","Evaluator #1","Evaluator #2","Evaluator #3","Evaluator #4","Evaluator #5"
"Есть, правда, и существенное различие: РНО по-прежнему остро не хватает стабильной государственной поддержки, тогда как БФО со временем её добился.","mixed","neutral","doubrful","mixed","mixed",1,6,7,8,2
"Кроме идеи утешить бабушку, здесь еще играет роль многократно слышанное в детстве «я на тебя жизнь положила».","negative","negative","neutral","mixed","neutral",1,13,7,8,2
"Эти два текста и Diseases of Women являются исчерпывающим списком работ, отмеченных её именем.","neutral","positive","neutral","mixed","neutral",1,13,2,9,7
"Тифензее выразил соболезнование родственникам погибших и сказал, что будет предпринято всё, чтобы выяснить причины катастрофы и сделать выводы.","mixed","mixed","positive","negative","negative",1,5,14,11,13
"Отнюдь: подобная формула вполне жизнеспособна в сознании европейца, даже не отягощённого какими-то меркантильными соображениями (ну, о’кей, попробуйте себе такого европейца представить!","neutral","positive","negative","neutral","mixed",1,13,4,17,14
"А 6 мая стало известно, что смотрителем острова Гамильтон объявлен, откровенно говоря, невзрачный британец Бен Саутхолл (Ben Southall).","neutral","negative","positive","negative","negative",1,11,5,12,13
"Насколько удачным окажется сервис в финансовом плане, покажет только время.","neutral","neutral","doubrful","neutral","mixed",1,6,7,8,2
"Золота не ждал, но поразило неумение делать обыкновенные вещи.","negative","negative","positive","negative","negative",1,13,6,16,4
"Родители""пчелок""не согласились с предъявленными претензиями и заверили, что хорошо осведомлены о том, чем дети занимаются в школе танца""Кредо"".","mixed","negative","mixed","neutral","neutral",1,13,15,17,7
"Благо первоначальный неутешительный прогноз не оправдался и на Олимпиаде Васильев всё-таки выступит, но в какой форме 23-й номер зачёта Мирового кубка подойдёт к главному соревнованию четырёхлетия, не знает даже он сам.","mixed","mixed","mixed","mixed","neutral",1,13,2,9,7
"В этой связи чрезвычайно важным представляется определение того, что такое «уроки Афганистана».","neutral","neutral","mixed","doubrful","neutral",1,2,17,8,18
"Лучше захватить с собой как можно больше документов - у меня, например, в этом году попросили подтверждение оплаты оргвзноса (ну да, я чуть-чуть заплатил своих денег.","negative","neutral","negative","neutral","positive",1,2,13,15,3
"Или он даже знает, но понять не может.","neutral","neutral","mixed","neutral","negative",1,2,6,16,4
"Правда я известный""тормоз"", мне всегда надо время чтобы обдумать услышанное.","negative","mixed","negative","negative","positive",1,11,13,15,3
"Наконец, вы видели когда-нибудь настоящего линуксоида?","mixed","negative","doubrful","mixed","neutral",1,2,8,9,10
"И в этом телевидение честно отображает провал, зияющий в нашем массовом сознании.","negative","negative","mixed","negative","negative",1,13,6,16,4
"На этот раз улики против него собирает не британская полиция, а американское ФБР.","neutral","neutral","negative","positive","negative",1,11,5,12,13
"А если кто и допущен соглядатайствовать – считайте, это такая карма-йога, практика бескорыстного труда на благо всем живым существам.","positive","positive","positive","neutral","mixed",1,13,4,17,14
"Впервые за последние годы в стране, которая является образцом соблюдения гражданских свобод, журналисты должны были обратиться к полицейской защите от угроз, которым они подверглись из-за карикатур.","negative","negative","mixed","negative","negative",1,6,7,8,2
"50 лет назад речь шла о свободе, сегодня о её оформлении.","negative","negative","mixed","neutral","neutral",1,2,15,17,7
"Это и строительство нового завода на 450 тыс. автомобилей, какие-то новые платформы, о которых уже никто не помнит, совместное предприятие.","positive","negative","neutral","mixed","neutral",1,13,17,8,18
"Влияние Страны восходящего солнца на Тибет, как это ни умалчивается сегодня, также было достаточно велико.","negative","positive","mixed","positive","neutral",1,13,9,12,10
"Из минусов – недостаточно большое количество таких устройств, это все новые iPhone, iPad, Samsung Galaxy – все, что работает на чипсетах Qualcomm.","neutral","negative","mixed","negative","negative",1,13,7,8,2
"По ее словам, эту проблему можно решить только при наличии у греков готовности проявить солидарность и взять на себя ответственность.","mixed","positive","negative","positive","neutral",1,13,6,16,4
"Ситуация не критична, но её нужно разрешить.","neutral","neutral","mixed","mixed","neutral",1,13,7,8,2
"Обсуждая эту тему, общественность разделилась на два лагеря: учителя, родители, министр образования и некоторые депутаты сочли это решение своевременным, а молодежь, главный омбудсмен России, а также единороссы посчитали закрытие возвращением к цензуре и ханжеством.","mixed","negative","mixed","neutral","mixed",1,2,11,3,14
"Ямочки на щеках и прищуренные глаза обещают многое, но не для платониста.","mixed","mixed","neutral","mixed","mixed",1,11,5,12,13
"И о нем в доме не говорят, потому что он пропал без вести, или был репрессирован?","negative","negative","mixed","negative","negative",1,13,7,8,2
"По «ночникам» ходит молодёжь, я до третьего курса института тоже тусил по ночным дискачам, потом просто вырос из этого, перебесился так сказать.","neutral","neutral","mixed","mixed","neutral",1,13,2,9,7
"А попытка засветиться, если и имела место, то удачной назвать её не торопитесь.","negative","negative","positive","negative","neutral",1,13,7,8,2
"Несмотря на грубую орфографическую ошибку («химеотерапия» с «е» вместо «и»), пользователи поделились изображением целых 60 000 раз!","neutral","positive","mixed","mixed","negative",1,13,6,16,4
"Побочные эффекты — негатив, беспокойство, стресс, напряжение, печаль, депрессия, гнев, страх и ненависть — поднимаются и уходят.","positive","mixed","mixed","mixed","neutral",1,13,8,9,10
"Однако техника «Консоли» не увезена, что явно говорит о планах продолжить строительство.","positive","neutral","positive","neutral","mixed",1,2,13,15,3
"Но так было только вплоть до одного момента.""","neutral","neutral","neutral","mixed","neutral",1,6,2,9,7
"Несмотря на все предыдущее, еще можно было попытаться предъявить права на Аляску.","positive","neutral","neutral","mixed","neutral",1,2,4,17,14
"Конституционный суд посчитал такие действия президента противозаконными и возвратил армейских офицеров к исполению своих обязанностей.","positive","negative","neutral","neutral","mixed",1,13,4,17,14
"Этот факт меня тогда преисполнил и гордостью за державу, и одновременно печалью.","mixed","mixed","mixed","negative","mixed",1,13,2,9,7
"К примеру, поставил под впечатлением десятку по 10-балльной шкале, а потом в поле зрения оказалось нечто более достойное, но шкала уже израсходована.","mixed","neutral","negative","mixed","negative",1,2,16,11,6
"Каждый, кто хоть немного интересуется историей Великой Отечественной (а в нашей стране таких миллионы), непременно прочитает «Воспоминания и размышления» маршала Жукова, хотя они довольно-таки лживы и написаны суконным языком.","negative","mixed","mixed","mixed","neutral",1,13,2,9,7
"Туск также подчеркнул, что польские власти не допустят ухудшения атмосферы солидарности и взаимопонимания, которая возникла между российскими и польскими политиками после катастрофы.","neutral","neutral","mixed","neutral","neutral",1,2,8,9,10
"Комитет, состоящий из 10 независимых экспертов, призывает администрацию Буша положить конец использованию пыток и жёстокое обращение с подозреваемыми в терроризме.","mixed","neutral","mixed","mixed","neutral",1,2,17,8,18
"Дэн Браун идёт дальше, прививая демосу уважение к аристократии и учёным, пусть сам в нобилитете и науках смыслит мало.","neutral","negative","neutral","mixed","mixed",1,2,17,8,18
"По сути, погоду на сцене делают три «дудки»: два сакса и тромбон.","neutral","negative","mixed","neutral","neutral",1,2,9,12,10
"Опять же комментирование материалов на действительно хорошо посещаемом сайте страдает из-за отсутствия у читателя стройной системы иерархической идентификации.","neutral","neutral","negative","mixed","mixed",1,2,4,17,14
"Саудовская Аравия имеет самые большие в мире запасы нефти, поэтому трудно представить, что там имеются какие-либо энергетические проблемы.","neutral","neutral","positive","mixed","mixed",1,2,5,12,13
"А на их пути – тигр, маленький слон Йогин (его братья – уже давно многоэтажные машины смерти), индийская девочка, служащая мишенью для метанья ножей, свами, жонглирующий будущим так легко, словно это прогноз погоды.","mixed","neutral","mixed","negative","neutral",1,2,6,16,4
"Первый объясняет кровавую правильность истории вглубь, второй — легализует статус-кво.","mixed","negative","mixed","negative","negative",1,13,7,8,2
"К концу недели, возмутитель всеобщего спокойствия, президент Ирана Махмуд Ахмадинежад объявил свою страну ядерной державой.","negative","neutral","mixed","negative","neutral",1,2,9,12,10
"Правда, постоянно смешил надувной велосипедист, старательно стремившийся упасть на головы прохожих.","positive","neutral","negative","positive","positive",1,2,17,8,18
"Есть события, которые остаются замеченными, но ты никак их через себя не пропускаешь, — тот же аэрфрансовский рейс, затонувший где-то рядом с Бразилией, какие-нибудь очередные теракты в Ираке, Афганистане…","mixed","negative","mixed","negative","neutral",1,2,8,9,10
"Разве не мистично погружение в океан подсознания?","mixed","neutral","mixed","neutral","mixed",1,2,9,12,10
"Женщины жаждут общения, но его результаты непредсказуемы","positive","neutral","neutral","negative","mixed",1,2,13,15,3
"Повседневное ТВ, ориентируясь на благополучие, методично внедряет в души рядовых индивидов затаённое и несформулированное чувство вины.","negative","neutral","mixed","negative","negative",1,2,11,3,14
"В общем, это всё, на что пока способен Buzz в качестве дополнения Gmail.","negative","negative","mixed","negative","negative",1,2,4,17,14
"Отметим, что позиция Рогозина расходится с планами главы Роскосмоса Владимира Поповкина, который в прошлом году заявил, что современная наука созрела для того, чтобы использовать Луну.","negative","neutral","neutral","neutral","mixed",1,2,4,17,14
"А кроме того, покажет невинно пострадавшим людям, что их поддерживают, о них помнят и стараются им помочь,","negative","negative","positive","mixed","mixed",1,2,14,11,13
"В книге отображена переоценка ценностей человеком, который в одночасье лишился всех привилегий.","neutral","neutral","mixed","negative","neutral",1,2,13,15,3
"Почему автор детективов о полицейском чиновнике, страже государственных интересов, борце против убийц, революционеров, шпионов и экстремистов берет себе псевдоним, отсылающий к имени анархиста и террориста, врага всякой государственности?","mixed","negative","negative","mixed","neutral",1,2,16,11,6
"Все освобожденные заложники, были доставлены в комиссарию города для допроса.","mixed","negative","neutral","mixed","neutral",1,2,13,15,3
"То, что долгое сидение перед компьютером, наносит немалый вред зрению человека, уже давно не является новостью.","negative","negative","mixed","negative","negative",1,13,7,8,2
"В зале ожидания мониторы у гейтов показывали случайные рейсы, не было часов, но были игровые автоматы.","negative","neutral","neutral","negative","mixed",1,2,13,15,3
"При самом беглом взгляде на героев Басилашвили становилось ясно, что социализм и советская идеология превратились в ритуал и риторику, а жизнь повернула в другое русло.","negative","neutral","mixed","doubrful","negative",1,2,17,8,18
"Лиза дает Барту письмо от парня, который хотел совершить американскую мечту, но скатился до помойки.","negative","negative","mixed","neutral","mixed",1,2,5,12,13
"Яна думает о поступлении на дневное отделение вуза, а раньше она и мечтать об этом не смела.","positive","neutral","positive","mixed","positive",1,2,11,3,14
"Это не поверхностное лечение, не пластырь.","positive","neutral","neutral","mixed","neutral",1,2,8,9,10
"Пространство, в котором тщетно искать объяснения событиям, строчить фабулу -""не сюжет важен, говорят индусы, а музыка нулей"".","neutral","neutral","neutral","mixed","neutral",1,2,17,8,18
"Отметим также, что западная пресса недовольна тем, как российские СМИ освещали визит президента США в Москву.","mixed","neutral","mixed","negative","negative",1,6,7,8,2
"Условно говоря, параллель с процветающими датчанами или бедствующими папуасами мало влияет на самоощущение россиянина.","neutral","neutral","mixed","neutral","mixed",1,11,5,12,13
"Причина проста - те курсы (прежде всего профильные), которые читаются в университете настолько сложны и глубоки, что чтобы в них начать тотально рубить, необходимо несколько лет напряженного труда.","positive","neutral","mixed","neutral","negative",1,2,6,16,4
"Оскорбления пропускаю мимо ушей: брань на вороту не виснет.","mixed","neutral","mixed","mixed","positive",1,10,17,8,18
"Таким образом, интерес к сериалу после некоторого снижения рейтингов снова достигнет своего пика.","neutral","positive","neutral","mixed","mixed",1,5,17,8,18
"Какое место занимает Россия в вашей жизни?","negative","neutral","neutral","mixed","neutral",1,13,2,9,7
"Возможно, в связи с некоторым отрезвлением по поводу отношений с Китаем почти умолкли разговоры о треугольнике Москва — Дели — Пекин.","negative","neutral","positive","mixed","neutral",1,2,17,8,18
"И наркотики я там ни разу не покупал, и что самое фантастическое: мне их там никто, ни разу не предложил...","negative","positive","positive","neutral","mixed",1,13,6,16,4
"В таком случае эффективность расходования бюджетных средств может быть повышена за счёт сокращения учителей.","negative","mixed","mixed","mixed","negative",1,13,10,16,2
"Город Пикалево Ленинградской области оказался в центре внимания в 2009 году, когда из-за несогласованности действий руководства нескольких предприятий, включая «Базэлцемент-Пикалево», производство на них остановилось на несколько месяцев.","negative","negative","negative","mixed","negative",1,2,5,12,13
"Можно было переводить прямо сразу на кассету, но это было опасно, потому что если оговорился или чихнул, то тут уже ничего не исправить.","neutral","neutral","negative","mixed","neutral",1,2,11,3,14
"Подорожав за май на 30%, нефть продемонстрировала самый существенный месячный рост за 10 лет.","negative","neutral","negative","positive","positive",1,2,4,17,14
"Уже сложилась определенная традиция: главные геополитические оппоненты на Большом Кавказе Армения и Азербайджан ведут своеобразное соревнование за благосклонность Кремля.","negative","negative","neutral","mixed","neutral",1,2,17,8,18
"Такого рода машинами, как известно, пользуются весьма состоятельные люди, не экономящие на собственной безопасности.","neutral","neutral","neutral","mixed","neutral",1,2,17,8,18
"Не у все все одинаково, конечно, были семье более и менее счастливые и благополучные.","neutral","positive","mixed","mixed","positive",1,13,2,9,7
"Если бы президентом жюри «Кинотавра» была женщина, она наградила бы «Еще один год» Оксаны Бычковой или «Как меня зовут» Нигины Сайфуллаевой – тончайшие картины об отношениях, в которых женские персонажи встают вровень с мужскими.","negative","positive","positive","neutral","negative",1,2,6,16,4
"Но Гриффин указал, что расходы на научные исследования за последние 15 лет выросли с 24 % до 32 % всего бюджета НАСА, забирая часть денег из пилотируемых программ:","positive","neutral","mixed","neutral","mixed",1,6,7,8,2
"Более того, эта работа так увлекла её, что мисс Магнанти не бросила её даже после того, как финансовые трудности миновали.","positive","positive","mixed","mixed","neutral",1,13,7,8,2
"Я из ничего делал театр, там, кроме долгов, ничего не было.","mixed","negative","mixed","mixed","negative",1,13,8,9,10
"Блокировка сайтов нелегальных букмекерских контор интернет-провайдерами по запросу Роскомнадзора не работает, так как пользователи во-первых, научились обходить блокировки, используюя прокси-серверы и браузеры Тор, а букмекеры и онлайн-казино имеют сайты-зеркала, которые не заблокированы и могут перенаправлять пользователя на основной игровой сайт.","negative","negative","mixed","mixed","neutral",1,13,9,12,10
"Это власть нового эстетического типа, новая в первом поколении, и она тоже производит переворот.","neutral","negative","negative","positive","neutral",1,2,5,12,13
"Нет, никаких интриг и никаких несчастных случаев.","mixed","positive","neutral","mixed","positive",1,13,7,8,2
"Я же говорю, что не специалист.","neutral","negative","mixed","negative","negative",1,13,17,8,18
"И не только перед ребёнком: все остальные (сколь угодно искушённые и поднаторевшие), критики и интеллектуалы, раскрыли рты от удивления.","neutral","neutral","mixed","mixed","positive",1,18,7,8,2
"А так, поскольку переводим, предварительно посмотрев, если есть какие-то непонятные сцены, с ними можно поработать.","neutral","neutral","doubrful","mixed","neutral",1,6,7,8,2
"В 2003 году мы создали журналистское объединение «Петербургская линия» с целью предотвратить превращение предстоявших тогда губернаторских выборов в фарс (по названию одной из моих тогдашних статей «Белоснежка и семь гномов»: так эти выборы были изначально смоделированы властями).","neutral","negative","mixed","negative","mixed",1,13,3,4,5
"Огромный вопрос, который можно задавать бесконечно.","neutral","neutral","neutral","mixed","neutral",1,13,2,9,7
"В опубликованном в июне 2009 года рейтинге самых высокооплачиваемых музыкантов Мадонна заняла первое место: ее доходы за последний год оценивались в 110 миллионов долларов, хотя при этом не учитывался развод певицы с Гаем Ричи, который по некоторым сведениям стоил ей 75 миллионов долларов.","neutral","neutral","mixed","mixed","neutral",1,13,2,9,7
"Играл бы тех же самых персонажей какой-нибудь другой актёр, их жизненные позиции и сами их носители выглядели бы просто омерзительно.","negative","negative","mixed","negative","negative",1,13,3,4,5
"В России, по нашим данным, реклама на YouTube раздражает только 21% пользователей.","negative","mixed","mixed","mixed","positive",1,11,5,12,13
"Вообще-то мы должны были приключаться втроём.","neutral","neutral","mixed","neutral","neutral",1,13,10,16,2
"Да что там Бортко: перед японским «Идиотом» пасует даже и Пырьев со своей диковатой, но весьма точной по настроению версией.","neutral","negative","mixed","mixed","neutral",1,13,7,8,2
"Ошо заходит дальше, говоря, что большинство болезней происходят из-за подавлений и выражение в катарсисе приводит человека к более естественному состоянию:","negative","neutral","mixed","neutral","negative",1,11,5,12,13
"«Бегун» занимает около 21% рынка, а доля Google составляет, по различным оценкам, всего 4-5%.","neutral","neutral","negative","mixed","neutral",1,13,8,9,10
"Тем не менее, лично мне было бы совершенно без разницы, сколько курсов обучалась девочка-переводчица, если она хорошо переводит: четыре или пять, лишь бы всё в ней было правильно: и мозги на месте, и фигура правильная, ну вы понимаете.","mixed","positive","positive","positive","mixed",1,13,6,16,4
"В мечети же тоже разные люди идут.","negative","neutral","mixed","mixed","neutral",1,13,3,4,5
"Здесь проиграли сильной и равной с нами команде, которой могли проиграть и в «нормальном» матче.","negative","negative","negative","mixed","neutral",1,13,2,9,7
"И единственное, что можно уверенно предсказать, что ахиллесова пята ЕС наверняка подтолкнёт сообщество к кардинальной финансовой чистке еврозоны и разработке новых правил общежития.","neutral","neutral","mixed","positive","neutral",1,2,6,16,4
"Я несколько раз честно пыталась одолеть первый том.","negative","neutral","mixed","negative","neutral",1,11,13,15,3
"Потому что всякие социальные сети (вконтакт, мойкруг, одноклассники), прочие сетевые проекты (ЖЖ в частности) - это же золотое дно.","mixed","negative","mixed","positive","mixed",1,2,9,12,10
"Она рассказывала, как ее кормили, зажав голову между голенями и вливая в рот бульон.","negative","negative","negative","mixed","negative",1,13,7,8,2
"Ёбаная сперма дракона, держите меня трое!","negative","negative","doubrful","mixed","mixed",1,13,8,9,10
"Огонь угрожал соседним зданиям, но был вовремя ликвидирован пожарными.","mixed","mixed","mixed","mixed","positive",1,2,6,16,4
"В конце 60-х матери получили возможность сидеть с детьми до года.","negative","neutral","mixed","positive","neutral",1,2,9,12,10
"Накануне глава российского правительства на совещании, посвященном перспективам космической отрасли, заявил, что может в течение дня принять кадровое решение в связи с последними неудачными запусками.","negative","neutral","mixed","neutral","neutral",1,13,6,16,4
"Близости и дистанции, притяжения и неслияния"".","mixed","neutral","doubrful","neutral","mixed",1,2,16,11,6
"Национальный праздник был омрачен неприятным инцидентом: французы освистали президента республики Франсуа Олланда, пишет РБК.","mixed","neutral","mixed","negative","negative",1,13,7,8,2
"Вместо матча из определённого количества партий, наш матч проводился до шести побед одного из участников, цель, которая оказалась недостижимой несмотря на то, что Карпов, в ходе матча. лидировал 5:0.","neutral","negative","negative","neutral","mixed",1,13,4,17,14
"Никто не желал вдумываться в то, что именно это обстоятельство позволяло столице иметь гарантированный приток налогов, который и не снился мэрам крупнейших городов страны.","neutral","neutral","neutral","mixed","mixed",1,2,17,8,18
"Несмотря на все достижения и подвижки в научных исследованиях, за 2012 год рак унес жизни 148 000 человек.","neutral","negative","neutral","mixed","mixed",1,2,14,11,13
"В результате партия Труда, чья внешнеполитическая программа, как показал дальнейший процесс, пользовалась успехом, собрала беспрецедентно низкое количество голосов.","mixed","mixed","mixed","negative","mixed",1,13,15,17,7
"Известный интернет-предприниматель и основатель универсальной энциклопедии «Википедия» Джимми Уэйлс назвал действия поисковика Google «цензурой» и пообещал бороться с принятым в Евросоюзе законом о «праве на забвение».","neutral","neutral","neutral","neutral","mixed",1,2,11,3,14
"Что многие порядки беспрецедентно глупы, а другие просто мимо человека.","mixed","negative","mixed","negative","negative",1,2,17,8,18
"Конечно, потом оказалось, что выступить с речью или в качестве преподавателя там может каждый, а в другие дни есть шанс попасть на игру в «Мафию» по-английски или встретить живого оксфордского профессора, но одного неудачного опыта моей подруге хватило, и она разочаровалась в таком методе погружения в язык.","mixed","neutral","mixed","mixed","negative",1,2,6,16,4
"По мнению лидера ЕСМ, «в 37 году расстреляли тех, кого надо, — изменников Родины и врагов народа».","neutral","mixed","mixed","mixed","negative",1,11,5,12,13
"Министр образования опровергает информацию о сокращении 200 тыс. учителей из-за демографической ямы, но при этом говорит, что эффективность расходования бюджетных средств может быть повышена за счёт сокращения учителей.","positive","mixed","mixed","neutral","mixed",1,6,10,16,2
"Тогда им не придётся столкнуться с такими неприятными сюрпризами.","mixed","negative","neutral","negative","mixed",1,13,17,8,18
"Мы видим, что украинцы устали от обещаний, и демонстрируют власти общественный запрос на новые лица, новые политические идеи, и результаты этих выборов подтверждают эту тенденцию,","mixed","negative","mixed","negative","mixed",1,13,3,4,5
"Здесь не только было можно, но и иной раз нужно изображать либерализм.","positive","neutral","neutral","neutral","mixed",1,2,17,8,18
"Время, исцеляющее других, меня все более и более поражает…","positive","neutral","neutral","mixed","negative",1,2,17,8,18
"Для манипуляторов, формирующих социальное коллективное тело, подобная редукция культурной памяти может быть осознанным выбором.","neutral","neutral","positive","mixed","neutral",1,13,7,8,2
"Следующее, исключительно мое впечатление, - пара без перерыва (полтора часа!) на одну лекцию это очень много.","neutral","negative","negative","mixed","negative",1,13,4,17,14
"Примечательно и то, что самое крупное предприятие по производству фанеры находится в городе Гагарине — Гагаринская фанерная фабрика.","neutral","positive","positive","mixed","neutral",1,13,2,9,7
"Хотя до этого Иран не допустил нас ни в какие экономические проекты (кроме пресловутого Бушера, на который больше никто не претендовал), отдавая их китайцам и европейцам.","mixed","neutral","mixed","neutral","negative",1,2,4,17,14
"Как будто застали мальчишку за стрёмным делом, поругали, он повинился — и пошёл себе дальше.","mixed","negative","mixed","negative","neutral",1,6,2,9,7
"Её опорой стали французы, которые покидали деревню ради занятия политикой и коммерцией.","neutral","neutral","neutral","neutral","mixed",1,13,11,3,14
